postcode,huisnummer,huisletter,toevoeging,straatnaam,woonplaats_naam
9461BH,1,,,Spiekersteeg,Gieten
1431EH,1,,,Raadhuisplein,Aalsmeer
7121DM,8,,,Hofstraat,Aalten
9285NH,18,,,Stationsstraat,Buitenpost
2951ED,2,,,Cortgene,Alblasserdam
3161KP,4,,,Stationsstraat,Rhoon
1815AG,10,,,Mallegatsplein,Alkmaar
7607EW,30,,,Haven Zuidzijde,Almelo
1315HR,1,,,Stadhuisplein,Almere
2405SH,1,,,Stadhuisplein,Alphen aan den rijn
5131AV,1,,,Willibrordplein,Alphen nb
4286ET,170,,,Sportlaan,Almkerk
9162EA,1,,,Jelmeraweg,Ballum
3811LM,1,,,Stadhuisplein,Amersfoort
1182JR,1,,,Laan Nieuwer-Amstel,Amstelveen
1011PN,1,,,Amstel,Amsterdam
7311LG,1,,,Marktplein,Apeldoorn
6811DG,38,,,Koningstraat,Arnhem
9401JW,33,,,Noordersingel,Assen
5721GJ,3,,,Koningsplein,Asten
5111CC,1,,,Singel,Baarle-nassau
3743EN,18,,,Stationsweg,Baarn
2991AA,1,,,Binnenhof,Barendrecht
3771ER,2,,,Raadhuisplein,Barneveld
6191KA,9,,,Raadhuisstraat,Beek lb
6361BZ,1,,,Deweverplein,Nuth
5953AL,1,,,Raadhuisplein,Reuver
6562AH,1,,,Dorpsplein,Groesbeek
5571HB,1,,,Burgemeester Magneestraat,Bergeijk
5854AX,2,,,Raadhuisstraat,Bergen l
1817MR,4,,,Jan Ligthartstraat,Alkmaar
4611AR,4,,,Jacob Obrechtlaan,Bergen op zoom
7271AX,1,,,Marktstraat,Borculo
5384BZ,6,,,De Misse,Heesch
5683GA,2,,,Dorpsplein,Best
6641AE,46,,,Van Heemstraweg,Beuningen gld
1948LC,48,,,Stationsplein,Beverwijk
5531BC,21,,,Markt,Bladel
1261JB,16,,,Kerklaan,Blaricum
2051GJ,158,,,Bloemendaalseweg,Overveen
2411BD,1,,,Raadhuisplein,Bodegraven
5427AB,2,,,Sint Agathaplein,Boekel
7875AD,50,,,Hoofdstraat,Exloo
7622DG,1,,,Rheineplein,Borne
4451KB,10,,,Stenevate,Heinkenszand
5281AT,1,,,Markt,Boxtel
4811DJ,10,,,Claudius Prinsenlaan,Breda
7255KA,2,,,Elderinkweg,Hengelo gld
6971BV,31,,,Engelenburgerlaan,Brummen
6444AT,1,,,Lindeplein,Brunssum
3984NC,1,,,Singelpark,Odijk
3752CL,1,,,Stadsspui,Bunschoten-spakenburg
4021VZ,1,,,De Wetering,Maurik
2903AR,111,,,Rivierweg,Capelle aan den ijssel
1902CA,1,,,Raadhuisplein,Castricum
7741GC,1,,,Kasteel,Coevorden
6021CA,1,,,Capucijnerplein,Budel
4101BK,250,,,Ridderstraat,Culemborg
7721AX,1,,,Raadhuisstraat,Dalfsen
9104BR,4,,,Hynsteblom,Damwald
3721AB,173,,,Soestdijkseweg Zuid,Bilthoven
8501AA,1,,,Herema State,Joure
3641AL,111,,,Croonstadtlaan,Mijdrecht
7921GD,2,,,Raadhuisstraat,Zuidwolde dr
2611BV,1,,,Stationsplein,Delft
2511BT,70,,,Spui,'s-gravenhage
1781AS,66,,,Willemsoord,Den helder
5751BE,1,,,Markt,Deurne
7411KT,1,,,Grote Kerkhof,Deventer
1111ZB,1,,,D.J. den Hartoglaan,Diemen
1703EZ,1,,,Parelhof,Heerhugowaard
7591MA,5,,,Nicolaasplein,Denekamp
6981BH,2,,,Philippus Gastelaarsstr,Doesburg
7001EW,2,,,Raadhuisstraat,Doetinchem
5104JJ,62,,,Hoge Ham,Dongen
3311GR,300,,,Spuiboulevard,Dordrecht
1616AV,1,,,Raadhuisplein,Hoogkarspel
4921BV,1,,,Park,Made
8251ER,1,,,De Rede,Dronten
6651DA,1,,,Heuvel,Druten
6921ES,1,,,Kon Willem-Alexanderpln,Duiven
6101CV,55,,,Nieuwe Markt,Echt
1132KN,1,,,W van der Knoopdreef,Volendam
6711DD,4,,,Bergstraat,Ede gld
3755AZ,1,,,Zuidersingel,Eemnes
9901CM,14,,,Wilhelminaweg,Appingedam
5521AW,15,,,Dijk,Eersel
6269DA,1,,,Amerikaplein,Margraten
5611EM,1,,,Stadhuisplein,Eindhoven
8081LA,19,,,Zuiderzeestraatweg Oost,Elburg
7811AP,1,,,Raadhuisplein,Emmen
1601KT,11,,,Hoogstraat,Enkhuizen
7514AD,51,,,Hengelosestraat,Enschede
8161EE,1,,,Marktplein,Epe
3851NT,2,,,Raadhuisplein,Ermelo
4875AA,4,,,Roosendaalseweg,Etten-leur
4941DX,2,,,Vrijheidstraat,Raamsdonksveer
5664GC,2,,,De Meent,Geldrop
5421CV,1,,,Ridderplein,Gemert
6591CP,1,,,Ellen Hoffmannplein,Gennep
5121JX,1,,,Raadhuisplein,Rijen
3241XB,45,,,Koningin Julianaweg,Middelharnis
4461GE,2,,,M.A. de Ruijterlaan,Goes
5051LT,1,,,Oranjeplein,Goirle
1404EP,35,,,Brinklaan,Bussum
4205AZ,1,,,Stadhuisplein,Gorinchem
2803PG,1,,,Burgemeester Jamesplein,Gouda
9712HN,1,,,Grote Markt,Groningen
6271DA,12,,,Willem Vliegenstraat,Gulpen
7481HS,3,,,Markt,Haaksbergen
2011VB,39,,,Zijlvest,Haarlem
2132LS,100,,,Taurusavenue,Hoofddorp
4731GJ,15,,,Parklaan,Oudenbosch
7772HZ,1,,,Stephanuspark,Hardenberg
3841AA,56,,,Havendam,Harderwijk
3371AS,1,,,Raadhuisplein,Hardinxveld-giessendam
8861BD,35,,,Voorstraat,Harlingen
8051EZ,1,,,Markt,Hattem
1964EZ,1,,,Maerten v Heemskerckpln,Heemskerk
2101HA,1,,,Raadhuisplein,Heemstede
8181ET,5,,,Eperweg,Heerde
8441ES,2,,,Crackstraat,Heerenveen
6411HP,25,,,Geleenstraat,Heerlen
5591HS,2,,,Jan Deckersstraat,Heeze
1852AR,252,,,Westerweg,Heiloo
7442MA,7,,,Willem-Alexanderstraat,Nijverdal
5707BX,1,,,Frans Joseph v Thielpark,Helmond
3342AE,1,,,Weteringsingel,Hendrik-ido-ambacht
7551EB,1,,,Burg van Dussenplein,Hengelo ov
5211HH,1,,,Wolvenhoek,'s-hertogenbosch
9981AA,1,,,Hoofdstraat-West,Uithuizen
6581AC,6,,,Kerkplein,Malden
5251ED,34,,,Julianastraat,Vlijmen
2181EC,115,,,Hoofdstraat,Hillegom
5081CA,10,,,Vrijthof,Hilvarenbeek
1217JE,1,,,Dudokpark,Hilversum
3262GM,6,,,W. van Vlietstraat,Oud-beijerland
7471DK,7,,,De Hofte,Goor
1761VM,1,,,De Verwachting,Anna paulowna
7901BP,1,,,Raadhuisplein,Hoogeveen
1625HV,1,,,Nieuwe Steen,Hoorn nh
5961ES,6,,,Wilhelminaplein,Horst
3995DW,25,,,Onderdoor,Houten
1276KB,10,,,Graaf Wichman,Huizen
4561EA,21,,,Grote Markt,Hulst
3401BK,1,,,Overtoom,Ijsselstein ut
2371AS,1,,,Westeinde,Roelofarendsveen
8261DD,1,,,Burg Berghuisplein,Kampen
4421AA,1,,,Kerkplein,Kapelle
2224EW,3,,,Koningin Julianalaan,Katwijk zh
6461EB,1,,,Markt,Kerkrade
1648JG,2,,,Middenhof,De goorn
2922AD,2,,,Raadhuisplein,Krimpen aan den ijssel
2821AS,8,,,Dorpsplein,Stolwijk
5741GA,37,,,Koppelstraat,Beek en donk
5431BV,1,,,Louis Jansenplein,Cuijk
6371LB,1,,,Sweelinckplein,Landgraaf
1121XC,1,,,Raadhuisstraat,Landsmeer
2662SB,1,,,Tobias Asserlaan,Bergschenhoek
1251KT,29,,,Brink,Laren nh
8911DH,2,,,Oldehoofsterkerkhof,Leeuwarden
2333CW,190,,,Bargelaan,Leiden
2351DZ,1,,,Willem-Alexanderlaan,Leiderdorp
2264BP,1,,,Raadhuisplein,Leidschendam
8232ZX,2,,,Stadhuisplein,Lelystad
6093HE,1,,,Leudalplein,Heythuysen
3831NA,1,,,'t Erf,Leusden
6681BJ,6,,,Kinkelenburglaan,Bemmel
2161BS,254,,,Heereweg,Lisse
7241CR,8,,,Hanzeweg,Lochem
5171CV,1,,,Anton Pieckplein,Kaatsheuvel
3411CH,1,,,Raadhuisplein,Lopik
7581AG,1,,,Raadhuisplein,Losser
5331CB,45,,,Kerkstraat,Kerkdriel
6051DZ,36,,,Markt,Maasbracht
5401EJ,145,,,Markt,Uden
3144BA,93050,,,Koningshoek,Maassluis
6211DW,10,,,Mosae Forum,Maastricht
1687CD,21,,,Dick Ketlaan,Wognum
6231LS,50,,,Markt,Meerssen
5461KN,1,,,Stadhuisplein,Veghel
7941BJ,26,,,Grote Oever,Meppel
4337PA,3,,,Kanaalweg,Middelburg
2636HX,37,,,Anna van Raesfeltstraat,Schipluiden
9411NB,1,,,Raadhuisplein,Beilen
9603AE,157,,,Gorecht-Oost,Hoogezand
4761BJ,15,,,Pastoor van Kessellaan,Zevenbergen
2964AL,88,,,Voorstraat,Groot-ammers
6942GK,10,,,Bergvredestraat,Didam
3417JG,5,,,Kasteelplein,Montfoort
6585AP,6,,,Raadhuisplein,Mook
4043KM,20,,,Burg Lodderstraat,Opheusden
6031VR,1,,,Raadhuisplein,Nederweert
3431LZ,1,,,Stadsplein,Nieuwegein
2441LE,1,,,Teylersplein,Nieuwveen
3861AK,27,,,Kolkstraat,Nijkerk gld
6511PP,6,,,Korte Nieuwstraat,Nijmegen
3201EL,106,,,Raadhuislaan,Spijkenisse
9101LP,13,,,Koningstraat,Dokkum
4491EV,31,,,Voorstraat,Wissenkerke
9301AA,1,,,Raadhuisstraat,Roden
8302BW,1,,,Harmen Visserplein,Emmeloord
2201HW,42,,,Voorstraat,Noordwijk zh
5671CK,2,,,Jan van Schijnveltlaan,Nuenen
8071GJ,1,,,Markt,Nunspeet
2342AN,13,,,Rhijngeesterstraatweg,Oegstgeest
5688AK,3,,,Deken Frankenstraat,Oirschot
5061HX,44,,,De Lind,Oisterwijk
9671CD,6,,,Johan Modastraat,Winschoten
8096CP,1,,,Raadhuisplein,Oldebroek
7571CD,1,,,Ganzenmarkt,Oldenzaal
8131BN,1,,,Raadhuisplein,Wijhe
7731EE,2,,,Chevalleraustraat,Ommen
7131BJ,2,,,Varsseveldseweg,Lichtenvoorde
4902ZP,1,,,Slotjesveld,Oosterhout nb
8431LE,11,,,'t Oost,Oosterwolde fr
1511BD,4,,,Kerkbuurt,Oostzaan
1716VS,1,,,Klaproos,Opmeer
9244CR,82,,,Hoofdstraat,Beetsterzwaag
5341GM,2,,,Raadhuislaan,Oss
7081BN,25,,,Staringstraat,Gendringen
1191BD,1,,,Vondelstraat,Ouderkerk aan de amstel
3421NE,219,,,Waardsedijk,Oudewater
6661EH,67,,,Dorpsstraat,Elst gld
3351PB,22,,,Markt,Papendrecht
5981CC,1,,,Wilhelminaplein,Panningen
9665JD,8,,,Raadhuislaan,Oude pekela
2641EZ,1,,,Oranjeplein,Pijnacker
1441DM,42,,,Purmersteenweg,Purmerend
3881BZ,1,,,Fontanusplein,Putten
8101AC,16,,,Zwolsestraat,Raalte
4416AK,1,,,Oude Plein,Kruiningen
6861GG,4,,,Generaal Urquhartlaan,Oosterbeek
3927AE,18,,,Lijsterbeslaan,Renswoude
5541KB,3,,,Kerkplein,Reusel
6994AB,3,,,Hoofdstraat,De steeg
3911MG,75,,,Nieuwe Veenendaalseweg,Rhenen
2981EA,1,,,Koningsplein,Ridderkerk
7461DD,1,,,Schild,Rijssen
2283GM,2,,,Generaal Spoorlaan,Rijswijk zh
6077CG,20,,,Schaapsweg,Sint odilienberg
6041TG,7,,,Kazerneplein,Roermond
4701NK,1,,,Stadserf,Roosendaal
3011AD,40,,,Coolsingel,Rotterdam
6891CL,1,,,Kerklaan,Rozendaal
4715RW,1,,,Binnentuin,Rucphen
1741EA,19,,,Laan,Schagen
3925CC,389,a,,Stationsweg,Scherpenzeel gld
3112DZ,1,,,Stadserf,Schiedam
9166LX,5,,,Nieuwestreek,Schiermonnikoog
4301SH,2,,,Laan van St. Hilaire,Zierikzee
6369AH,1,,,Markt,Simpelveld
5271GC,1,,,Meanderplein,Sint-michielsgestel
6131LB,1,,,Hub Dassenplein,Sittard
3361HJ,11,,,Industrieweg,Sliedrecht
4501BD,22,,,Nieuwstraat,Oostburg
9203RM,2,,,Gauke Boelensstraat,Drachten
3762AV,1,,,Raadhuisplein,Soest
5711EK,1,,,Wilhelminaplein,Someren
5691AL,1,,,Raadhuisplein,Son en breugel
9501SZ,1,,,Raadhuisplein,Stadskanaal
7951DE,26,,,Binnenweg,Staphorst
1611KW,2,,,De Middend,Bovenkarspel
4652GA,1,,,Buiten de Veste,Steenbergen nb
8331XE,1,,,Vendelweg,Steenwijk
6171KP,200,,,Stadhouderslaan,Stein lb
3601GR,1,,,Endelhovenlaan,Maarssen
8601CR,15,,,Marktstraat,Sneek
4531GZ,1,,,Stadhuisplein,Terneuzen
8881EB,10,a,,Burg van Heusdenweg,West-terschelling
1791AT,15,,,Emmalaan,Den burg
2171CA,25,,,Wilhelminalaan,Sassenheim
4691DZ,2,,,Hof van Tholen,Tholen
4001MV,2,,,Achterweg,Tiel
5038TC,130,,,Stadhuisplein,Tilburg
7651CV,1,,,Raadhuisplein,Tubbergen
7671GS,1,,,Manitobaplein,Vriezenveen
9481AW,1,,,Kornoeljeplein,Vries
9251GH,7,,,Raadhuisweg,Burgum
1911EG,28,,,Middelweg,Uitgeest
1423AJ,16,,,Laan van Meerwijk,Uithoorn
8321GT,9,,,Singel,Urk
3521AZ,1,,,Stadsplateau,Utrecht
3941HV,2,,,Kerkplein,Doorn
6291AT,15,,,Von Clermontplein,Vaals
6301HC,4,,,Geneindestraat,Valkenburg lb
5554DA,15,,,De Hofnar,Valkenswaard
9641AW,5,,,Raadhuisplein,Veendam
3901GA,1,,,Raadhuisplein,Veenendaal
4357ET,1,,,Traverse,Domburg
5501KA,1,,,Meiveld,Veldhoven
1971EN,1,,,Dudokplein,Ijmuiden
5912AT,1,,,Hanzeplaats,Venlo
5801MB,1,,,Raadhuisstraat,Venray
4141DA,1,,,Dokter Reilinghplein,Leerdam
3131VX,6,,,Westnieuwland,Vlaardingen
8899AE,127,,,Dorpsstraat,Vlieland
4382MA,1,,,Paul Krugerstraat,Vlissingen
6367ED,1,,,Raadhuisplein,Voerendaal
3221AL,26,,,Oostzanddijk,Hellevoetsluis
2252LA,25,,,Leidseweg,Voorschoten
7391KA,17,,,H.W. Iordensweg,Twello
5261EP,1,,,Secr. van Rooijstraat,Vught
8801PA,18,,,Harlingerweg,Franeker
5582JV,19,,,Koningin Julianalaan,Waalre
5141PA,6,,,Taxandriaweg,Waalwijk
2741HS,1,,,Beukenhof,Waddinxveen
6701CZ,22,,,Markt,Wageningen
2242LV,45,,,Johan de Wittstraat,Wassenaar
1141GV,3,,,Pierebaan,Monnickendam
6001GS,101,,,Wilhelminasingel,Weert
4191KH,2,,,Kuipershof,Geldermalsen
6658AG,11,,,Dijkstraat,Beneden-leeuwen
9801AJ,9,,,Hooiweg,Zuidhorn
7981EL,1,,,Raadhuislaan,Diever
6931CZ,1,,,Dorpsplein,Westervoort
9551AB,1,,,Dorpsstraat,Sellingen
2671VW,7,,,Verdilaan,Naaldwijk
8471KR,1,,,Griffioenpark,Wolvega
7642EB,3,,,Pouliestraat,Wierden
6602DB,27,,,Kasteellaan,Wijchen
1231KB,1,,,Rading,Loosdrecht
3962CL,30,,,Karel de Grotestraat,Wijk bij duurstede
7101GH,25,,,Stationsstraat,Winterswijk
4631GC,3,,,Huijbergseweg,Hoogerheide
3447GR,14,,,Blekerijlaan,Woerden
1531NX,3,,,Koetserstraat,Wormer
3931KK,1,,,Parklaan,Woudenberg
1506MZ,100,,,Stadhuisplein,Zaandam
5301LB,11,,,Hogeweg,Zaltbommel
2042KB,2,,,Swaluestraat,Zandvoort
3891ER,1,,,Raadhuisplein,Zeewolde
3701HS,1,,,Het Rond,Zeist
6901AA,27,,,Kerkstraat,Zevenaar
2711EC,1,,,Stadhuisplein,Zoetermeer
2381ET,27,,,Noordbuurtseweg,Zoeterwoude
2914KM,1,,,Raadhuisplein,Nieuwerkerk ad ijssel
4881CN,1,,,Markt,Zundert
7201DN,2,,,'s Gravenhof,Zutphen
8061CB,2,,,Telvorenstraat,Hasselt
3331BT,3,,,Raadhuisplein,Zwijndrecht
8017JZ,2,,,Lubeckplein,Zwolle
